ID,island,new_island_record
69deda6d595d48f6b654716e6b06336a,Yap State,new island record
69deda6d595d48f6b654716e6b06336a,Chuuk State,
69deda6d595d48f6b654716e6b06336a,Pohnpei State,new island record
69deda6d595d48f6b654716e6b06336a,Kosrae State,new island record
69deda6d595d48f6b654716e6b06336a,Saipan,
69deda6d595d48f6b654716e6b06336a,Tinian,
69deda6d595d48f6b654716e6b06336a,Rota,
69deda6d595d48f6b654716e6b06336a,Guam,
dd90de5b80054b42be14a0cbf883a5d7,Republic of Palau,
dd90de5b80054b42be14a0cbf883a5d7,Yap State,
dd90de5b80054b42be14a0cbf883a5d7,Chuuk State,
dd90de5b80054b42be14a0cbf883a5d7,Pohnpei State,
dd90de5b80054b42be14a0cbf883a5d7,Saipan,
dd90de5b80054b42be14a0cbf883a5d7,Tinian,
dd90de5b80054b42be14a0cbf883a5d7,Rota,
dd90de5b80054b42be14a0cbf883a5d7,Guam,
aa8d183098cb41f295be17b78763a2b0,Republic of Palau,
aa8d183098cb41f295be17b78763a2b0,Yap State,new island record
aa8d183098cb41f295be17b78763a2b0,Saipan,
aa8d183098cb41f295be17b78763a2b0,Tinian,
aa8d183098cb41f295be17b78763a2b0,Rota,
aa8d183098cb41f295be17b78763a2b0,Guam,
9c04bebde35b42658388827c10f989f4,Republic of Palau,
9c04bebde35b42658388827c10f989f4,Yap State,
9c04bebde35b42658388827c10f989f4,Chuuk State,
9c04bebde35b42658388827c10f989f4,Pohnpei State,
9c04bebde35b42658388827c10f989f4,Kosrae State,
9c04bebde35b42658388827c10f989f4,Saipan,
9c04bebde35b42658388827c10f989f4,Tinian,
9c04bebde35b42658388827c10f989f4,Rota,
9c04bebde35b42658388827c10f989f4,Guam,
51bedea8f649487bad3db9f7641b1b94,Kosrae State,new island record
51bedea8f649487bad3db9f7641b1b94,Saipan,new island record
51bedea8f649487bad3db9f7641b1b94,Tinian,new island record
51bedea8f649487bad3db9f7641b1b94,Rota,new island record
51bedea8f649487bad3db9f7641b1b94,Guam,new island record
fdeb931e7e3b43a0a5f8ed2457fd9e28,Mariana Islands,
dc9125b4576a4feabb3035069657bdaa,Saipan,
dc9125b4576a4feabb3035069657bdaa,Tinian,
dc9125b4576a4feabb3035069657bdaa,Rota,
dc9125b4576a4feabb3035069657bdaa,Guam,
eec42b9f5eef4741a6301962697cb25e,Yap State,
eec42b9f5eef4741a6301962697cb25e,Chuuk State,
eec42b9f5eef4741a6301962697cb25e,Pohnpei State,
eec42b9f5eef4741a6301962697cb25e,Kosrae State,
eec42b9f5eef4741a6301962697cb25e,Saipan,
eec42b9f5eef4741a6301962697cb25e,Tinian,
eec42b9f5eef4741a6301962697cb25e,Rota,
eec42b9f5eef4741a6301962697cb25e,Guam,
fa186be66e564ee1a24d9d266e2fe354,Republic of Palau,
fa186be66e564ee1a24d9d266e2fe354,Pohnpei State,
fa186be66e564ee1a24d9d266e2fe354,Saipan,
fa186be66e564ee1a24d9d266e2fe354,Tinian,
fa186be66e564ee1a24d9d266e2fe354,Rota,
fa186be66e564ee1a24d9d266e2fe354,Guam,
3bd34302aefa48229e05a89a044b10a4,Saipan,
1aa30591b5364ae1949c96098c69225e,Yap State,
1aa30591b5364ae1949c96098c69225e,Chuuk State,
1aa30591b5364ae1949c96098c69225e,Pohnpei State,
1aa30591b5364ae1949c96098c69225e,Kosrae State,
1aa30591b5364ae1949c96098c69225e,Saipan,
1aa30591b5364ae1949c96098c69225e,Tinian,
1aa30591b5364ae1949c96098c69225e,Rota,
1aa30591b5364ae1949c96098c69225e,Guam,
9a11c6cebcc8443191d65c681aafe558,Republic of Palau,new island record
9a11c6cebcc8443191d65c681aafe558,Saipan,
